ST_CASE,MONTH,DAY,DAY_WEEK,HOUR,LATITUDE,LONGITUD,HARM_EV,LGT_COND,WEATHER,VE_FORMS,TRAV_SP,DEATHS,DR_DRINK,VSPD_LIM
122349,10,3,3,6,25.95693889,-80.20691667,9,1,1,1,15,0,0,15
122350,9,28,5,18,27.0174,-82.03699722,9,1,10,1,20,0,0,40
122351,7,24,2,9,28.18475,-81.50431111,12,1,1,2,10,0,0,55
122352,9,24,1,14,30.59424722,-81.59931389,12,1,10,2,60,0,0,60
122353,9,29,6,16,27.70073889,-81.83628056,9,1,10,1,998,0,0,98
122354,10,1,1,18,26.20033056,-81.63250833,12,1,2,2,20,0,0,35
122356,10,6,6,5,26.16591111,-80.21948611,42,3,1,1,65,1,0,65
122357,10,2,2,17,26.66126111,-81.89115556,15,1,1,1,45,0,0,45
122358,9,23,7,20,29.5762,-82.91577778,8,2,1,1,65,0,0,65
122359,10,2,2,11,25.998175,-80.39235833,8,1,10,1,45,0,0,45
122360,9,30,7,22,27.75921111,-82.37186111,30,2,10,1,44,1,0,70
122361,9,28,5,6,28.33918611,-82.61807222,12,1,1,2,10,1,0,45
122362,8,31,5,1,27.29720278,-80.33974167,42,3,1,1,40,1,1,45
122363,9,17,1,4,27.93521111,-82.299425,43,2,1,1,25,1,0,25
122364,9,23,7,12,26.45811389,-80.10335833,12,1,1,2,5,1,0,45
122365,9,30,7,14,26.64513889,-80.14328889,12,1,10,2,40,1,1,30
122366,10,5,5,6,30.61436944,-81.59760556,12,2,10,2,20,0,0,50
122367,9,20,4,15,28.09808611,-80.61206389,12,1,1,2,25,1,0,0
122368,9,30,7,1,28.55333056,-81.34481389,9,3,1,1,50,0,0,45
122369,10,6,6,8,30.55115278,-81.79928889,12,1,1,2,10,1,0,45
122370,10,7,7,14,28.60981389,-81.72851389,43,1,1,1,70,2,1,70
122371,9,23,7,6,26.73534444,-81.43771944,12,2,1,2,15,0,0,55
122372,9,24,1,2,29.4553,-81.1758,12,2,1,2,110,1,1,70
122373,9,22,6,19,30.34493333,-83.99071389,9,1,1,1,45,0,1,45
122374,10,1,1,15,30.72535556,-86.09486111,12,1,1,2,45,0,0,45
122375,10,2,2,19,27.95111944,-82.45076111,8,2,1,1,25,0,0,35
122376,10,4,4,19,30.54248056,-81.71979167,12,5,1,2,40,1,0,40
122377,10,3,3,17,30.64150278,-86.94283889,32,1,1,1,80,1,1,55
122379,9,24,1,20,25.85998056,-80.25049444,8,2,1,1,20,0,0,35
122380,9,22,6,1,27.26426944,-80.42481667,12,2,1,3,90,1,0,70
122381,9,24,1,1,30.4349,-81.76137778,8,2,1,1,55,0,0,55
