ST_CASE,VEH_NO_x,DRIMPAIR_x,DRDISTRACT,DRIVERRF,PER_NO_x,DRUGRES,DRUGACTQTY,STATE_x,COUNTY,HARM_EV_x,MAKE_x,BODY_TYP_x,AGE,SEX,PER_TYP_x,INJ_SEV,REST_USE,REST_MIS,AIR_BAG_x,EJECTION,DRINKING,ALC_RES,HISPANIC,STATE_y,VE_FORMS,HARM_EV_y,NUMOCCS,HIT_RUN,VIN,MOD_YEAR,VPICMAKE,VPICMODEL,VPICBODYCLASS,MAKE_y,MAKENAME,MODEL,BODY_TYP_y,HAZ_INV,HAZ_PLAC,HAZ_ID,TRAV_SP,UNDEROVERRIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,M_HARM,FIRE_EXP,DR_DRINK,DR_PRES,L_STATE,DR_ZIP,L_TYPE,L_STATUS,L_COMPL,L_COMPLNAME,L_RESTRI,DR_HGT,DR_WGT,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_MONAME,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_CONFIG,STATE,RACE,ORDER,MULTRACE,CASENUM,HARM_EV,DAY_WEEK,MONTH,MAXSEV_IM,WEATHR_IM,PER_NO_y,BODY_TYP,AGE_IM,SEX_IM,INJSEV_IM,PER_TYP_y,AIR_BAG_y,EJECT_IM,MAKE,VEH_NO_y,DRIMPAIR_y
510684,1,99,96.0,0.0,1.0,5060.0,0.025,51.0,31.0,12.0,53.0,80.0,25.0,1.0,1.0,4.0,20.0,7.0,20.0,8.0,9.0,0.0,7.0,51.0,2.0,12.0,1.0,0.0,JS1GR7MA2J21,2018.0,509.0,13163.0,80.0,53.0,Suzuki,706.0,80.0,1.0,0.0,0.0,65.0,7.0,8.0,8.0,12.0,6.0,12.0,0.0,0.0,1.0,51.0,24577.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,69.0,160.0,0.0,1.0,8.0,12.0,December,2020.0,2.0,2023.0,3.0,2.0,3.0,45.0,1.0,1.0,2.0,1.0,3.0,1.0,62.0,99.0,1.0,2.0,402.0,51.0,1.0,1.0,0.0,202305253064.0,12.0,7.0,9.0,3.0,1.0,1.0,80.0,32.0,2.0,3.0,1.0,20.0,8.0,53.0,2.0,0.0
510689,1,99,92.0,38.0,1.0,0.0,-99.0,51.0,15.0,12.0,35.0,4.0,37.0,1.0,1.0,2.0,3.0,0.0,8.0,0.0,9.0,996.0,0.0,51.0,2.0,12.0,1.0,0.0,1N4BL4DV4KC1,2019.0,478.0,1904.0,13.0,35.0,Nissan/Datsun,47.0,4.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,12.0,6.0,12.0,0.0,0.0,1.0,51.0,22958.0,1.0,1.0,2.0,No valid license for this class vehicle,0.0,69.0,195.0,0.0,0.0,1.0,11.0,November,2022.0,11.0,2022.0,0.0,1.0,3.0,45.0,1.0,1.0,2.0,1.0,3.0,1.0,17.0,99.0,1.0,1.0,503.0,51.0,0.0,1.0,0.0,202304912483.0,12.0,3.0,2.0,0.0,1.0,1.0,4.0,50.0,1.0,0.0,1.0,20.0,0.0,35.0,2.0,0.0
510696,1,99,0.0,0.0,1.0,1.0,-99.0,51.0,87.0,42.0,19.0,4.0,70.0,1.0,1.0,4.0,3.0,0.0,99.0,0.0,9.0,299.0,7.0,51.0,1.0,42.0,1.0,0.0,1G6CD5333L42,1990.0,469.0,8844.0,13.0,19.0,Cadillac,3.0,4.0,1.0,0.0,0.0,70.0,7.0,3.0,5.0,11.0,6.0,35.0,1.0,1.0,1.0,51.0,22803.0,1.0,6.0,3.0,Valid license for this class vehicle,3.0,70.0,160.0,0.0,0.0,0.0,9.0,September,2021.0,9.0,2021.0,9.0,6.0,1.0,70.0,2.0,8.0,2.0,1.0,0.0,14.0,12.0,99.0,1.0,4.0,102.0,51.0,1.0,1.0,0.0,202305325436.0,42.0,4.0,10.0,4.0,1.0,1.0,4.0,70.0,1.0,4.0,1.0,98.0,0.0,19.0,1.0,99.0
510697,2,0,0.0,0.0,1.0,0.0,-99.0,51.0,89.0,12.0,35.0,4.0,19.0,1.0,1.0,0.0,3.0,0.0,20.0,0.0,0.0,996.0,0.0,51.0,2.0,12.0,1.0,0.0,3N1AB7AP7JY3,2018.0,478.0,1907.0,13.0,35.0,Nissan/Datsun,43.0,4.0,1.0,0.0,0.0,40.0,7.0,0.0,0.0,12.0,6.0,12.0,0.0,0.0,1.0,45.0,29212.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,70.0,268.0,0.0,1.0,0.0,8.0,August,2019.0,8.0,2019.0,0.0,2.0,2.0,45.0,1.0,1.0,2.0,1.0,0.0,1.0,54.0,99.0,1.0,1.0,301.0,51.0,0.0,1.0,0.0,202304708159.0,12.0,3.0,1.0,0.0,1.0,1.0,4.0,19.0,2.0,0.0,1.0,20.0,0.0,35.0,2.0,0.0
510698,1,99,96.0,58.0,1.0,3022.0,0.18,51.0,153.0,42.0,37.0,2.0,22.0,1.0,1.0,4.0,20.0,7.0,1.0,2.0,9.0,149.0,6.0,51.0,1.0,42.0,1.0,0.0,1HGEM22985L0,2005.0,474.0,1863.0,3.0,37.0,Honda,31.0,2.0,1.0,0.0,0.0,998.0,7.0,0.0,0.0,9.0,6.0,42.0,0.0,1.0,1.0,51.0,20112.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,74.0,160.0,0.0,2.0,1.0,2.0,February,2022.0,2.0,2023.0,3.0,2.0,2.0,35.0,3.0,2.0,2.0,1.0,0.0,14.0,13.0,99.0,1.0,4.0,101.0,51.0,1.0,1.0,0.0,202305274163.0,12.0,4.0,9.0,0.0,1.0,1.0,2.0,43.0,2.0,0.0,1.0,20.0,0.0,37.0,2.0,98.0
510703,1,99,0.0,0.0,1.0,9999.0,-99.0,51.0,85.0,42.0,7.0,34.0,56.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,9.0,995.0,7.0,51.0,1.0,42.0,2.0,0.0,1D7HA16D85J5,2005.0,476.0,1938.0,60.0,7.0,Dodge,482.0,34.0,1.0,0.0,0.0,72.0,7.0,0.0,0.0,11.0,6.0,2.0,1.0,0.0,1.0,51.0,23228.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,72.0,230.0,0.0,2.0,1.0,9.0,September,2021.0,8.0,2023.0,5.0,2.0,3.0,65.0,1.0,1.0,2.0,1.0,0.0,1.0,11.0,99.0,1.0,4.0,101.0,51.0,6.0,1.0,0.0,202304819034.0,12.0,1.0,3.0,0.0,1.0,1.0,34.0,32.0,1.0,0.0,1.0,20.0,0.0,7.0,1.0,0.0
510707,1,99,96.0,51.0,1.0,1.0,-99.0,51.0,59.0,12.0,49.0,5.0,44.0,2.0,1.0,4.0,3.0,0.0,8.0,0.0,1.0,159.0,7.0,51.0,2.0,12.0,1.0,0.0,JTDKDTB30D10,2013.0,448.0,13823.0,5.0,49.0,Toyota,46.0,5.0,1.0,0.0,0.0,55.0,0.0,0.0,0.0,12.0,6.0,12.0,0.0,1.0,1.0,51.0,22101.0,1.0,6.0,3.0,Valid license for this class vehicle,3.0,63.0,117.0,0.0,0.0,0.0,0.0,No Record,0.0,0.0,0.0,0.0,3.0,6.0,55.0,1.0,1.0,2.0,2.0,0.0,1.0,54.0,99.0,1.0,1.0,303.0,51.0,1.0,1.0,0.0,202304924821.0,12.0,4.0,4.0,0.0,1.0,1.0,5.0,36.0,1.0,0.0,1.0,1.0,0.0,49.0,2.0,0.0
510718,1,9,0.0,0.0,1.0,1.0,-99.0,51.0,660.0,33.0,12.0,4.0,18.0,2.0,1.0,4.0,3.0,0.0,8.0,0.0,1.0,131.0,7.0,51.0,1.0,33.0,3.0,0.0,1FADP3F20DL1,2013.0,460.0,1779.0,13.0,12.0,Ford,37.0,4.0,1.0,0.0,0.0,61.0,7.0,0.0,0.0,11.0,6.0,30.0,0.0,1.0,1.0,51.0,22827.0,1.0,6.0,3.0,Valid license for this class vehicle,3.0,66.0,145.0,0.0,0.0,0.0,2.0,February,2022.0,2.0,2022.0,3.0,1.0,2.0,25.0,3.0,2.0,2.0,1.0,0.0,14.0,13.0,99.0,1.0,4.0,101.0,51.0,1.0,1.0,0.0,202305109485.0,12.0,6.0,3.0,1.0,1.0,1.0,4.0,35.0,2.0,1.0,1.0,20.0,0.0,12.0,1.0,0.0
510720,1,99,0.0,0.0,1.0,1.0,-99.0,51.0,810.0,53.0,35.0,4.0,61.0,1.0,1.0,4.0,20.0,7.0,1.0,0.0,9.0,174.0,7.0,51.0,1.0,53.0,1.0,0.0,3N1CB51D24L8,2004.0,478.0,1907.0,13.0,35.0,Nissan/Datsun,43.0,4.0,1.0,0.0,0.0,60.0,7.0,3.0,5.0,12.0,6.0,42.0,0.0,1.0,1.0,51.0,23322.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,73.0,210.0,1.0,0.0,0.0,9.0,September,2019.0,9.0,2019.0,5.0,1.0,2.0,40.0,3.0,1.0,2.0,1.0,0.0,14.0,13.0,99.0,1.0,4.0,101.0,51.0,1.0,1.0,0.0,202304813305.0,34.0,1.0,3.0,2.0,1.0,1.0,4.0,58.0,1.0,2.0,1.0,1.0,0.0,35.0,1.0,0.0
510721,1,0,0.0,38.0,1.0,0.0,-99.0,51.0,73.0,12.0,35.0,4.0,42.0,1.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0,996.0,0.0,51.0,3.0,12.0,1.0,0.0,3N1AB7AP1KY2,2019.0,478.0,1907.0,13.0,35.0,Nissan/Datsun,43.0,4.0,1.0,0.0,0.0,15.0,7.0,0.0,0.0,1.0,6.0,12.0,0.0,0.0,1.0,51.0,23061.0,1.0,6.0,3.0,Valid license for this class vehicle,0.0,70.0,190.0,0.0,0.0,0.0,0.0,No Record,0.0,0.0,0.0,0.0,1.0,2.0,45.0,1.0,1.0,2.0,1.0,20.0,1.0,17.0,99.0,1.0,1.0,502.0,51.0,0.0,1.0,0.0,202304700675.0,12.0,5.0,1.0,1.0,10.0,1.0,4.0,38.0,1.0,1.0,1.0,20.0,0.0,35.0,2.0,0.0
